lang	lemma	speech	gloss	marker	deprecated	created_by	source	neo_version
s	[ɣ] otherwise vanished	phonetic-rule					PE22/031.2006	
n	[ɣ], [ŋ] vocalized before [l], [r], [m], [n]	phonetic-rule					PE22/039.0901	
s	[ɣ] vocalized before [l], [r], [m], [n]	phonetic-rule					VT42/26.0504-2	
n	[i]	phoneme					PE19/023.1706	
s	[i]	phoneme					LotR/1115.2510-1	
n	[ī]	phoneme					PE19/025.1101	
s	[ī]	phoneme					PE18/096.2210	
n	[ī], [ū] often shortened in polysyllables	phonetic-rule					PE22/031.1413	
s	[ī], [ū] often shortened in polysyllables	phonetic-rule					PE22/031.1413	
n	[io] became [ui], [eo]	phonetic-rule						
s	[iu] and [ju] became [ȳ]	phonetic-rule					LotR/1115.3305	
n	[j]	phoneme					PE19/019.0406	
s	[j]	phoneme					LotR/1114.0101	
n	[k]	phoneme					PE19/018.1907	
s	[k]	phoneme					LotR/1113.1801-1	
n	[l]	phoneme					PE15/12.1001	
s	[l]	phoneme					LotR/1114.0701-1	
n	[l̥]	phoneme					PE19/019.1206	
s	[l̥]	phoneme					PE19/019.1206	
n	[lð] became [ll] or [lt]	phonetic-rule						
s	[lð] became [ll]	phonetic-rule						
n	[ls], [rs] became [lθ], [ss]	phonetic-rule						
s	[ls], [rs] became [lθ], [ss]	phonetic-rule						
n	[m]	phoneme					PE19/019.0206	
s	[m]	phoneme					LotR/1115.1201	
n	[mb], [nd] became [mm], [nn]	phonetic-rule					PE22/030.1901	
s	[mb], [nd] became [mm], [nn]	phonetic-rule					LotR/1115.1111	
n	[mm] shortened	phonetic-rule					PE22/035.1901	
s	[mm] shortened	phonetic-rule					PE22/035.1901	
n	[n]	phoneme					PE19/019.0306	
s	[n]	phoneme					LotR/1115.1510	
n	[ŋ]	phoneme					PE19/020.1006	
s	[ŋ]	phoneme					LotR/1114.1301-1	
n	[n] assimilated to following labial	phonetic-rule						
s	[n] assimilated to following labial	phonetic-rule						
s	[ŋ] vanished with compensatory lengthening	phonetic-rule					PE17/044.4311	
n	[nl] became [ll]	phonetic-rule						
s	[nl] became [ll]	phonetic-rule						
n	[nm] became [nw]	phonetic-rule						
s	[nm], [ŋm] became [nw], [ŋw]	phonetic-rule					PE22/148.0905	
n	[nr] became [ðr]	phonetic-rule					PE22/036.0301	
s	[nr] became [ðr]	phonetic-rule					LotR/1113.2612	
n	[o]	phoneme						
s	[o]	phoneme					LotR/1115.2513-1	
n	[ō]	phoneme					GG/14.1614	
s	[ō]	phoneme					LotR/1115.2706	
n	[ǭ] became [ou]	phonetic-rule					PE22/027.1804	
s	[ǭ] became [au]	phonetic-rule					PE18/096.2214-2	
n	[oe]	phoneme						
s	[oe]	phoneme					LotR/1116.2310	
n	[oe] revised to [ae]	phonetics						
n	[ou]	phoneme		†			PE19/025.10045	
s	[ou]	phoneme		†			PE17/099.3113	
n	[ou] became [au]	phonetic-rule					PE22/027.1811	
s	[ou] became [au]	phonetic-rule					PE17/099.3114	
n	[p]	phoneme					PE19/018.1707	
s	[p]	phoneme					VT42/07.1212-1	
n	[r]	phoneme					PE15/12.1002	
s	[r]	phoneme					LotR/1114.2501-1	
n	[r̥]	phoneme					PE19/019.1306	
s	[r̥]	phoneme					PE19/019.1306	
n	[s]	phoneme					Ety/SEL-D.027	
s	[s]	phoneme					LotR/1114.3001-1	
n	[sk], [sp] usually became [sg], [sb]	phonetic-rule						
s	[sk], [sp] usually became [sg], [sb]	phonetic-rule						
n	[t]	phoneme					PE19/018.1807	
s	[t]	phoneme					RGEO/65.3503	
n	[tl], [dl] became [kl], [gl]	phonetic-rule						
n	[θ]	phoneme					PE19/018.2307	
s	[θ]	phoneme					LotR/1114.3301	
n	[u]	phoneme						
s	[u]	phoneme					LotR/1115.2514-1	
n	[ū]	phoneme					PE19/025.1106	
s	[ū]	phoneme					PE18/096.2214	
n	[ui]	phoneme					PE19/025.1108	
s	[ui]	phoneme					LotR/1116.2002-1	
n	[v]	phoneme					PE19/023.1506	
s	[v]	phoneme					LotR/1113.2806	
n	[w]	phoneme					PE19/023.2706	
s	[w]	phoneme					PE22/149.2503	
n	[w̥]	phoneme						
s	[w̥]	phoneme						
n	[wo] became [o]	phonetic-rule						
s	[wo] became [o]	phonetic-rule						
n	[x]	phoneme					PE19/018.2407	
s	[x]	phoneme					LotR/1113.2001	
n	[x], [ɸ] vocalized between a vowel and [s], [θ]	phonetic-rule					PE22/039.0902	
s	[x], [ɸ] vocalized between a vowel and [θ]	phonetic-rule					PE23/138.2606	
n	[y]	phoneme						
s	[y]	phoneme					LotR/1114.4801	
n	[zb], [zg] became [ðβ], [ðɣ]	phonetic-rule						
s	[zb], [zg] became [ðβ], [ðɣ]	phonetic-rule					PE19/101.1505	
n	[ø]	phoneme					EtyAC/NDIS.058	
s	[ø]	phoneme					PE18/105.0203	
s	[ę̄] became [ai]	phonetic-rule					PE18/096.2214-1	
n	[œ]	phoneme		†				
s	[œ]	phoneme		†				
n	[œ] became [e]	phonetic-rule					PE22/037.0801	
s	[œ] became [e]	phonetic-rule					PE22/037.0801	
s	[œi] became [ui] or [y]	phonetic-rule						
n	[ȳ]	phoneme						
s	[ȳ]	phoneme					VT48/07.3810	
n	[ɸ], [β] became [f], [v]	phonetic-rule						
s	[ɸ], [β] became [f], [v]	phonetic-rule						
s	-a	suf	[old] genitive suffix	†			NM/355.2612	
n	ar	conj	and				TAI/150.3706	
n	a	conj	and				TI/182.1707	
s	adh	conj	and					
s	ah	conj	and					
s	ar	conj	and		1			
s	a¹	conj	and; †by, near, beside				AotM/062.5204	
s	ae	interj	O!					
s	a²	interj	O!				LB/354.3101	
n	eb	prep	?before	#			PM/136.0103-1	
s	eb	prep	?before	#	1		PM/136.1606-1	
s	ab	prep	after	#			WJ/387.3001-1	
ns	abgen-	vb	to foresee, expect	!		VQP		0.6.9
s	ablad	n	prohibition, refusal				VT47/13.1503	
s	Abonnen	proper-name	After-born				WJ/387.3001	
ns	ordolel	n	tomorrow	!	1	Gábor Lőrinczi		0.6.9
ns	abor¹	n	tomorrow, (lit.) after-day	!		Fiona Jallings	GL/61.1801	0.6.5
ns	abor²	adj	following, succeeding, close behind (of place), next behind or after (time or place)	^		Paul Strack	GL/61.8601	0.8.10.1
ns	ach	n	bone	!	1	Fiona Jallings		0.6.9
s	ach¹	n	neck				PE17/092.1510	
s	ach²	conj	*but				VT50/15.0501	
s	achad	n	rock ridge, neck (geographically)				PE17/092.1512	
ns	achad-	vb	to remake, reshape	!		Rínor		0.8.12
s	Achad Tarlang	place-name	Tarlang’s Neck				PE17/092.1212	
ns	a chaeth i	phrase	because, (lit.) for cause that	!		Echuidor		0.8.10.1
s	achar-	vb	to avenge, do back, react, requite	#			PE17/166.1904	
s	achared	n	vengeance				PE17/167.0206	
s	acharn	n	vengeance, (an act of) revenge				PE17/166.2003	
ns	achas	n	dread, fear	!	1	David Salo, GS		0.7.0
n	acho	?					PE23/021.1702	
n	active participle	grammar						
s	active participle	grammar						
s	-ad	suf	dual	†			Let/427.2105	
n	ad-	pref	back, again, re-				Ety/AT(AT).013	
s	ad-	pref	back, again, re-	#			PE17/167.1004-1	
s	-ad¹	suf	noun-suffix	#			PE17/092.1512-2	
n	ada	n	father (hypocoristic)				Ety/ATA.017	
n	adab	n	building, house				Ety/TAK.087	
ns	adaba-	vb	to build, erect, establish	^			PE13/132.0401	0.7.1
s	Adan	n	Man (as a species)				Let/282.1810	
s	Adanedhel	masc-name	Elf-man				S/210.1605	
s	Adanel	fem-name					MRI/Adanel.001	
s	adaneth	n	(mortal) woman				MR/323.3109	
n	adar	n	father				Ety/ATA.013	
s	adar	n	father				PM/324.3802	
ns	adbanna-	vb	to refill	!	1	Ryszard Derdzinski, PPW		0.6.9
ns	adbannad(a)-	vb	to refill	!				0.8.00
s	adbed-	vb	to rephrase				PE17/167.1004	
n	adel	prep	behind, in rear (of)				Ety/TELES.044	
s	adertha-	vb	to reunite	#			S/113.2012-1	
n	aderthad	n	reuniting				Ety/MBER.056	
s	aderthad	n	reuniting				S/113.2012	
n	adjectives	grammar					PE13/123.0101	
s	adjectives	grammar					PE13/123.0101	
n	atlanna-	vb	to slope, slant		1		Ety/TALÁT.029	
ns	adlanna-	vb	to slope, slant	^			Ety/TALÁT.029	0.6.5
ns	adlannas	n	downfall, ruin	!		Röandil		0.8.00
n	atlant	adj	oblique, slanted		1		Ety/TALÁT.026	
ns	adlant	adj	oblique, slanted	^			Ety/TALÁT.026	0.6.5
n	adleg-	vb	*to release	†#	1		EtyAC/LEK.014	
n	adleithian	n	*release, freeing		1		EtyAC/LEK.012	
n	adleitha-	vb	*to release		1		EtyAC/LEK.011	
n	tlaud	adj	sloping					
n	aclod	adj	sloping, tilted		1		Ety/TALÁT.023	
ns	adlod	adj	sloping, tilted	^			Ety/TALÁT.023	0.6.5
s	adu	adj	double				SA/rant.009	
s	aduial	n	(evening) twilight				LotR/1111.2813	
s	Adurant	place-name	Double Stream				SA/rant.007	
n	adverbs	grammar					GG/10.1501	
s	adverbs	grammar					PE17/018.1608	
s	advir	n	heirloom				PE17/165.1806	
n	adwen	n	[unglossed]		1		PE23/026.1813	
ns	ae	conj	if 	!	1	David Salo		0.6.9
s	Ae Adar Nín	text						
s	ae Adar nín i vi Menel	phrase	our Father who [art] in Heaven				VT44/21.2600	
ns	aebin	n	cherry (tree)	^			GL/18.0801	0.6.5
ns	aeda-	vb	to revere, worship	!			GL/18.0701	0.6.5
ns	aedaith	n	reverence, worship, religion	!			GL/18.0601	0.6.5
ns	aedh	n	nest	^			GL/17.7103	0.6.5
n	oeg	adj	sharp, pointed, piercing		1		Ety/AYAK.011	
s	aeg	adj n	sharp; *point	#			PM/347.2009	
n	oegas	n	mountain peak		1		Ety/AYAK.015	
ns	aegas	n	mountain peak	^			Ety/AYAK.015	0.6.5
n	oeglir	n	range of mountain peaks		1		Ety/AYAK.027	
s	aeglir	n	line of peaks	#			RC/011.4011-2	
s	Aiglos	proper-name						
s	Aeglos	proper-name	Snow-point				LotRI/Aeglos.001	
s	aeglos	n	icicle, (lit.) snow-point; snowthorn (a plant)				LotRI/Aeglos.001-1	
n	Egnor	masc-name					Ety/EK.044	
s	Aegnor	masc-name	Fell Fire, Sharp Flame				MR/323.2304	
n	oel	n	pool, lake		1		Ety/AY.010	
s	aelin	n	lake, pool		1			
s	ael	n	lake, pool	#			S/162.1507-1	
n	Elbereth Gilthoniel (draft)	text						
s	A Elbereth Gilthoniel	text						
n	Elbereth Gilthoniel	phrase					RS/394.1000	
s	a Elbereth Gilthoniel²	phrase	o Elbereth who lit the stars					
s	a Elbereth Gilthoniel	phrase	o Elbereth who lit the stars				Let/278.2606	
n	Oelinuial	place-name	Pools of Twilight				Ety/AY.014	
s	Aelin-uial	place-name	Meres of Twilight				LT2I/Aelin-uial.001	
s	Aeluin	place-name	*Blue Lake				LBI/Tarn Aeluin.002	
ns	aemar	n	rookery, colony of birds	!		Paul Strack	GL/17.7001	0.8.03
s	ain	adv	*should, could					
s	aen	adv	*should, could				AotM/062.6301	
ns	Aeni	n	(female) angel	!			GL/18.1003	0.6.5
ns	aenor	n	god	!		Fiona Jallings	GL/18.0901	0.7.4
ns	Aenu	n	(male) angel	!			GL/18.1001	0.6.5
s	aer	adj	*hallowed, holy				VT44/24.1601	
n	Airandir	masc-name	Sea-wanderer				LRI/Airandir.001	
s	Aerandir	masc-name	Sea-wanderer				SA/ran.011	
ns	aerem	n	icon	!		Vyacheslav Stepanov		0.8.03
n	Aearendel	masc-name					PE22/041.1204	
s	Aerennel	masc-name					PM/364.3210	
s	aerlinn	n	*hymn, (lit.) holy song				RGEO/62.3601	
s	Aerlinn in Edhil o Imladris	phrase	*Holy Song of the Elves of Rivendell				RGEO/62.3600	
ns	aeron	n	saint	!				0.7.3
n	aes	n	cooked food, meat				Ety/AP.007	
ns	aetha-	vb	to narrow (intr.); to besiege [with o(h)]	!		Ellanto		0.8.10
ns	aethad(a)-	vb	to (make something) narrow	!		Ellanto		0.8.10
ns	aethas	n	siege	!		Ellanto		0.8.10
n	aew	n	(small) bird				Ety/AIWĒ.007	
s	aew	n	(small) bird				PE17/097.3202	
s	aewen	adj	of birds	#			SA/lin¹.006-2	
n	iâr	n	blood		1		Ety/YAR.007	
s	agar	n	blood	#	1		S/210.0503-1	
s	agarfant beth	phrase	he spoke words				PE17/126.1812	
n	Iarwath	masc-name	Blood-stained				Ety/WAƷ.052	
s	Agarwaen	masc-name	Blood-stained				LBI/Agarwaen.001	
ns	agla-	vb	to shine out, flash	!		Elaran		0.6.9
ns	aglad	n	lightning	!		Elaran	LB/045.3803	0.8.01
ns	aglan	n	ray of light	^			PE13/136.1601	0.6.5
n	aglar	n	glory, splendour				Ety/AKLA-R.018	
s	aglar	n	glory, brilliance, splendour, radiance				Let/448.3501-1	
n	aglareb	adj	glorious				Ety/AKLA-R.020	
s	aglareb	adj	glorious, brilliant				PE17/024.3514	
n	aglar anann	phrase	*glory for long				SD/046.42025	
s	aglar’ni Pheriannath	phrase	glory to the halflings				Let/448.3501	
n	Aglarond	place-name	Caves of Splendour				WR/076.2612	
s	Aglarond	place-name	Glittering Cavern				Let/282.0208	
n	Aglon	place-name	defile, pass between high walls				Ety/AK.013	
s	Aglon	place-name	Narrow Pass				SI/Aglon.001	
s	aglor	adj	brilliant, glorious		1		PE18/087.1910	
ns	agol	n	flash	^			GL/17.5401	0.6.5
n	agor	adj	narrow				Ety/AK.010	
ns	agrech	n	contempt				GL/17.6101	0.6.6
ns	agreitha-	vb	to despise, contemn	^			GL/17.1806	0.6.5
ns	agreithannen	adj	despised	^			GL/27.0401	0.6.6
ns	agreitharol	adj	despicable, contemptible	^			GL/17.6301	0.6.6
s	a Hîr Annûn Gilthoniel	phrase	*oh Lady of the West, Star-kindler				LB/354.3100	
n	ai	interj	hail				RS/198.1506	
s	ai¹	interj	hail; ha, there you are				LotR/0209.3109-1	
s	ai²	pron	*those who				VT44/22.1801	
ns	aich	adv	also	!	1	Elaran		0.7.3
ns	aif	adj	same	!	1	Fiona Jallings		0.6.9
ns	ain	adj	same, identical	!		Fiona Jallings, Elaran	GL/50.1401	0.6.8
n	Ai, Padathir, Padathir	phrase	Hail, Trotter, Trotter				RS/194.2304	
n	Ai, Du-finnion	phrase					RS/361.0303	
n	Ai, dennad Torfir	phrase					TI/061.0905	
s	ai na vedui Dúnadan	phrase	Ah! at last, Dúnadan!				Let/448.3209	
s	air	adj	lonely				PE17/028.1806	
n	eith	n	spear-point		1		Ety/EK.010	
ns	aith	n	spear-point, [ᴱN.] spear, ⚠️thorn	^			Ety/EK.010	0.6.5
n	al-	pref	no, not				Ety/LA.035	
s	al-¹	pref	no, not				PE17/101.0101	
s	al-²	pref	well, happily		1		PE17/146.1712	
s	alae	interj	?				UT/040.3808-1	
s	alae! ered en Echoriath, ered e·mbar nín	phrase	[?behold!] the mountains of Echoriath, the mountains of my home!				UT/040.3808	
n	lalf	n	elm-tree		1		Ety/ÁLAM.009	
s	alaf	n	elm				PE17/153.1908	
n	alag	adj	rushing, impetuous				Ety/ÁLAK.010	
n	alagon	n	storm					
n	alagos	n	storm (of wind)				Ety/ÁLAK.013	
s	albeth	n	(word of) good omen				PE17/146.1612	
n	Alchorin	proper-name	Not-of-Kôr				Ety/AR².078	
s	alf	n	flower	-	1		PE17/153.2205	
ns	alfeg	n	cygnet, young swan	^			PE13/159.0201	0.8.03
s	alfirin	adj n	immortal, (lit.) not dying; a species of flower				Let/248.1902	
n	Airlond	place-name	(?sea-stead)				EtyAC/LOD.017	
n	Alflon	place-name	*Swan-haven				SMI/Alflon.001	
n	Alfobas	place-name	*Swan-harbourage				Ety/KHOP.015	
ns	alfuil	n	large white sea-bird, albatross, ⚠️†swan	^			PE13/136.8604	0.8.03
ns	alhad	pron	nowhere	!		Fiona Jallings, FJNS		0.7.0
ns	aliavren	adj	barren	^			GL/38.1503	0.8.04
ns	allu	adv	never	!		Paul Strack		0.8.04
ns	alnad	pron	nothing	!		Fiona Jallings, FJNS		0.7.0
n	alf	n	swan				Ety/ÁLAK.033	
s	alph	n	swan				LotR/1114.1807	
ns	alben	pron	no one	!	1	Fiona Jallings, FJNS		0.7.0
ns	alphen	pron	no one, nobody	!		Paul Strack		0.7.0
s	Alphros	proper-name					PMI/Alphros.001	
s	alw	adj	wholesome		1			
s	alu	adj	wholesome	*			PE17/146.2707	
ns	alvar	n	(good) luck, fortune	!			GL/44.0701	0.6.5
s	alwed	adj	prosperous, fortunate				PE17/146.1701	
ns	am	adv adj	more	!		Fayanzār		0.6.9
n	am	adv pref	up				Ety/AM².025	
s	am	adv pref	up	#			MR/320.1511-1	
n	am-	pref	snake				Ety/ANGWA.010	
n	amar	n	Earth				Ety/MBAR.015	
s	amar	n	world, the Earth, (lit.) settlement, the great habitation				NM/226.1806	
n	barth	n	fate		1			
n	ammarth	n	fate, doom				Ety/MBARAT.008	
s	ammarth	n	fate, doom	†	1			
s	amarth	n	fate, doom				NM/227.1602	
s	amartha-	vb	to define, decree, destine				PE17/104.3611	
s	Amarthan	masc-name	Fated One				VT41/10.3610	
ns	amarthannen	adj	decreed, destined, ordained	!			PE13/161.7901	0.6.5
n	amath	n	shield	-	1		EtyAC/MBAT(H).010	
n	ambend	adv	uphill	†				
n	ambenn	adv						
n	amben	adj	uphill				Ety/AM².027	
s	amdir	n	hope [based on reason], (lit.) looking up				MR/320.1511	
ns	amhir	adv	upstream	!		Rínor, Ellanto		0.8.12
s	Amlaith	masc-name					LotRI/Amlaith.001	
s	amloth	n	helm crest, (orig.) uprising flower				WJ/318.3905	
n	amlug	n	dragon				Ety/ANGWA.012	
ns	ammad-	vb	to devour	!				0.8.11
n	palw	n	agony	-	1		EtyAC/KWAL.036	
ns	ammal	n	(death) agony	^			PE18/092.1909	0.7.0
ns	amman	adv	why, (lit.) for what	!		Fiona Jallings		0.6.9
ns	ammatha-	vb	to maul	!		Paul Strack	GL/33.2701	0.6.5
ns	ammos	n	*breast, chest; ⚠️breastplate				PE13/137.1701	0.6.6
ns	ammuia-	vb	to work (hard) for, to earn	!		Fayanzār		0.6.9
n	amon	n	hill				Ety/AM².030	
s	amon	n	hill, mountain with steep sides; lump, clump, mass				LotR/1097.2412-1	
n	Dolamarth	place-name	Mount Doom				TI/343.4006	
s	Amon Amarth	place-name	Mount Doom, (lit.) Hill of Doom				LotR/1037.3902	
s	Amon Anwar	place-name	Hill of Awe				UT/301.0211	
s	Amon Darthir	place-name					LT2I/Amon Darthir.001	
n	Amon Thorn	place-name					WR/232.4207	
s	Amon Dîn	place-name	Silent Hill				LotRI/Amon Dîn.001	
n	Amon Ereb	place-name	Lonely Hill				Ety/ERE.025	
s	Amon Ereb	place-name	Lonely Hill				SA/er.005	
s	Amon Ethir	place-name	Hill of Spies				LT2I/Amon Ethir.001	
n	Amon Gwareth	place-name	Hill of Watch				LR/056.1312	
s	Amon Gwareth	place-name					SI/Amon Gwareth.001	
n	Amon Hen	place-name					TI/364.1010	
s	Amon Hen	place-name	Hill of Sight, (lit.) Hill of the Eye				LotR/0393.4012	
s	Amon Lanc	place-name	Naked Hill				UT/280.1102	
n	Lhawhen	place-name					TI/387.2704	
n	Amon Lhaw	place-name					TI/364.1005	
s	Amon Lhaw	place-name	Hill of Hearing, *(lit.) Hill of Ears				LotR/0393.4005	
s	Amon Obel	place-name					LRI/Amon Obel.001	
n	Amon Carab	place-name	Hill of the Hat				WJ/187.1907	
s	Amon Rûdh	place-name	Bald Hill				S/204.1606	
s	Amon Sûl	place-name	Weathertop, (lit.) Hill of the Wind				LotR/0185.2108	
s	Amon Tirith	place-name	Hill of Guard				RC/772.0611	
n	Amon Uilos	place-name					Ety/OY.024	
s	Amon Uilos	place-name	Hill of Ever-snow				Let/278.3301	
ns	amor	n	morning, early day	!				0.8.01
ns	amorvad	n	breakfast	!		Paul Strack	GL/57.0801	0.8.05
ns	amosgarn	n	robin, (lit.) red-breast				PE13/110.1101	0.6.6
ns	amoth	n	shoulder				PE13/137.2201	0.8.04
s	amrad-	vb	to climb	|			NM/367.3003	
ns	amrad-	vb	to climb				NM/367.3003	0.8.10.23.1
n	Díriel	masc-name					Ety/DER.044	
s	Amras	masc-name	Top-russet				LT2/251.0107	
ns	amrent	n	lark				PE13/137.2701	0.8.03
n	Damrod	masc-name	hammerer of copper				Ety/NDAM.020	
s	Amrod	masc-name	*High and Lofty				LT2/251.0105	
n	Agaldor	masc-name					LR/012.2101	
n	Ammalas	masc-name					TI/223.1409	
n	Amroth	masc-name					LR/012.2102	
s	Amroth	masc-name	Up-climber, High Climber				LotR/1127.3815	
s	Amrothos	masc-name					PMI/Amrothos.001	
n	amrûn	n	uprising, sunrise, Orient, east				Ety/AM².035	
s	amrûn	n	sunrise, east, (lit.) of the uprising				LotR/1116.4006	
n	a(n)	prep	of				WR/287.0703	
s	an	prep	to, for				LB/354.2803-1	
n	a-	pref	intensive prefix				EtyAC/N.089	
s	an-	pref	intensive prefix	#			SA/faug.005-1	
n	an-	pref	with, by				Ety/NĀ¹.017	
s	Anach	place-name	?Long Neck				LT2I/Anach.001	
n	anann	adv	long				SD/046.4202	
s	anann	adv	(for) long				Let/448.3415	
n	Falborn²	masc-name					WR/169.4209	
n	Anborn	masc-name					WR/169.4305	
s	Anborn	masc-name					LotRI/Anborn.001	
n	anc	n	jaw, row of teeth				Ety/ÁLAK.018-1	
n	Ancalagon	masc-name	Biting-Storm				Ety/ÁLAK.018	
s	Ancalagon	masc-name	Biting-Storm				LotRI/Ancalagon.001	
ns	and	n	gate, door	!	1	David Salo, GS		0.7.0
n	ann	adj	long				Ety/ÁNAD.009	
s	ann²	adj	long					
s	and	adj	long				PE17/012.2803	
n	andeith	n	long-mark		1		Ety/TEK.047	
s	andaith	n	long-mark				PE17/123.0702	
n	Andram	place-name	Long Wall				Ety/ÁNAD.012	
s	Andram	place-name	Long Wall				S/122.3106	
n	andrand	n	*long cycle		1			
n	anrand	n	cycle, age, (lit.) long cycle		1		Ety/RAD.038	
ns	andrann	n	cycle, age, (lit.) long cycle	^			Ety/RAD.038	0.6.5
s	Andras	place-name	Long Cape				WJI/Andras.001	
s	Angast	place-name	Long Cape				VT42/08.3907	
s	Andrast	place-name	Long Cape				RC/lxiv.3301	
n	Andrath	place-name					TI/079.3805	
s	Andrath	place-name	Long Climb [or Long Street]				UT/278.2109	
s	Andreth	fem-name	*Patience				MR/305.1301	
s	andreth	n	long-suffering, patience				PE17/182.1501	
ns	andrethui	adj	patient, long suffering	!				0.6.5
s	Androth	place-name	*Long Cave				SI/Androth.001	
n	Beleghir	place-name	Great River				RS/410.2102	
n	Anduin	place-name	Great River				LR/033.3107	
s	Anduin	place-name	Great River, (lit.) Long River				LotR/0052.2812	
n	Anfalas	place-name	Langstrand				TI/310.4004	
s	Anfalas	place-name	Langstrand, (lit.) Long Beach				LotR/0770.4301	
n	An(d)fang	proper-name	Longbeard				Ety/ÁNAD.016	
s	Anfang	proper-name	Longbeard				PM/321.3103	
n	Anfauglin	masc-name	Jaws of Thirst				SM/115.3207	
s	Anfauglir	masc-name	Jaws of Thirst				S/180.1206	
n	Fauglith	place-name	Thirsty Sand				Ety/LIT.011	
s	Anfauglith	place-name	Gasping Dust				LBI/Anfauglith.001	
n	ang	n	iron				Ety/ANGĀ.006	
s	ang	n	iron				PM/347.0404	
ns	angab-	vb	to assail, (lit.) towards-leap	!		Parmandil		0.8.10
n	Angband	place-name	Iron Prison, Hells of Iron				Ety/MBAD.012	
s	Angband	place-name	Iron Prison				LotRI/Angband.001	
n	Angbor	masc-name					WR/419.2805	
s	Angbor	masc-name	*Iron-fist				LotRI/Angbor.001	
s	angerthas	n	runic alphabetic, (lit.) long rune-rows				LotR/1123.3701-1	
s	Angerthas Daeron	proper-name	Angerthas of Daeron				LotR/1123.3701	
s	Angerthas Moria	proper-name	Angerthas of Moria				LotR/1126.1702	
s	Anghabar	place-name	Iron-delvings				SA/anga.008	
s	Anglachel	proper-name	*Iron-of-the-flaming-star				S/201.3504	
s	anglenna-	vb	to approach	#			AotM/062.5603	
s	anglennatha i Varanduiniant erin dolothen Ethuil	phrase	will approach the Bridge of Baranduin on the eighth day of Spring				AotM/062.56025	
n	Angmar	place-name					WR/334.3601	
s	Angmar	place-name	*Iron Home				LotRI/Angmar.001	
n	angol¹	n	deep lore, magic	†			Ety/ÑGOL.021	
