lang	lemma	speech	gloss	marker	deprecated	created_by	source	neo_version
q	[sp], [sk] became [ps], [ks]	phonetic-rule					PE18/093.1710	
eq	[sx] became [ss]	phonetic-rule					PE12/020.30075	
eq	[sxʷ] became [sw]	phonetic-rule					PE12/020.3217	
eq	[t]	phoneme					PE12/016.1907	
mq	[t]	phoneme					PE19/037.2801	
q	[t]	phoneme					PE18/092.1103	
eq	[ti] became [tsi]	phonetic-rule					PE12/023.0101	
eq	[ts] became [s] after diphthong	phonetic-rule					PE12/023.0801	
eq	[θ]	phoneme		†			PE12/024.1705	
mq	[θ]	phoneme		†			PE19/037.3101	
q	[θ]	phoneme		†			PE19/071.2212	
eq	[θ] became [ð] after voiced spirants and stops	phonetic-rule					PE12/019.2501	
eq	[θ] became [s]	phonetic-rule					PE12/019.1501	
mq	[θ] became [s]	phonetic-rule					PE19/031.0701	
q	[θ] became [s]	phonetic-rule					Let/425.4211	
eq	[θʲ] became [θ] before stops	phonetic-rule					PE12/019.0401	
eq	[θʲi] became [xi]	phonetic-rule						
eq	[tʲ]	phoneme					PE12/016.1906	
mq	[tʲ]	phoneme					PE19/038.1601	
q	[tʲ]	phoneme					LotR/1114.3601	
eq	[tʲ], [kʷ] became [t], [k] before [t], [s]	phonetic-rule					PE12/019.2601	
eq	[u]	phoneme					PE12/009.2601	
mq	[u]	phoneme					PE12/009.2601	
q	[u]	phoneme					LotR/1115.2514	
eq	[ū]	phoneme					PE12/010.0601	
mq	[ū]	phoneme					PE19/025.0512	
q	[ū]	phoneme					VT48/07.3707	
eq	[ui]	phoneme					PE12/012.1707	
mq	[ui]	phoneme					PE12/012.1707	
q	[ui]	phoneme					LotR/1116.2002	
eq	[v]	phoneme					PE12/016.2309	
mq	[v]	phoneme					PE19/038.0601	
q	[v]	phoneme					PE17/076.1911	
eq	[w]	phoneme					PE12/013.1301	
mq	[w]	phoneme					PE19/038.0701	
q	[w]	phoneme					LotR/1114.4401	
eq	[w̥]	phoneme					PE14/041.0705	
mq	[w̥]	phoneme					PE19/035.0810	
q	[w̥]	phoneme					LotR/1114.4108	
mq	[v] became [w] after [l], [r]	phonetic-rule					PE22/045.1010	
q	[w] became [v] after [l], [r]	phonetic-rule					PE17/129.1901	
eq	[w] became [v] after [u] and [o] and before [o]	phonetic-rule					PE12/012.0304	
eq	[w] became [v] in Cortirion	phonetic-rule					PE12/024.2401	
mq	[w] became [v] initially and between vowels	phonetic-rule					PE19/033.1409	
q	[w] became [β] initially and between vowels	phonetic-rule					PE17/076.1915	
q	[w] from [gw] became [v] initially and between vowels	phonetic-rule					PE17/154.2802	
mq	[wo] became [o]	phonetic-rule					PE19/053.1402	
q	[wo] became [o]	phonetic-rule					PE19/106.0404	
mq	[x]	phoneme					PE19/052.0501	
q	[x]	phoneme		†			LotR/1113.3305	
eq	[x]	phoneme		†			PE12/017.2716	
eq	[x] assimilated to preceding stop	phonetic-rule					PE12/018.1701	
mq	[x] became [h] except before [t]	phonetic-rule					PE19/030.3415	
q	[x] became [h] except before [t]	phonetic-rule					PE19/071.1103	
eq	[xs] became [xx]	phonetic-rule					PE12/020.0100	
eq	[xʷ]	phoneme		†			PE12/016.2203	
eq	[xʷ] became [kʷ] after voiceless stops	phonetic-rule					PE12/017.3304	
eq	[xʷ] became [x] before consonants	phonetic-rule					PE12/017.3001	
eq	[xʷu] became [xu]	phonetic-rule					PE12/017.2309	
eq	[z]	phoneme		†			PE12/016.2407	
eq	[rl] became [ll]	phonetic-rule					PE12/019.2117	
eq	[z] became [r]	phonetic-rule					PE12/020.2600	
mq	[z] became [r]	phonetic-rule					PE19/033.2601	
q	[z] became [r]	phonetic-rule					PE17/129.1701	
eq	[z] vanished between a vowel and [m] after a preceding [z], [r]	phonetic-rule					PE12/019.2401	
eq	[ø]	phoneme					PE12/016.2405	
mq	[ø]	phoneme					PE19/038.0801-2	
q	[ø]	phoneme					PE17/153.0508	
eq	[ɸ] usually became [f]	phonetic-rule					PE12/020.0401	
eq	[β] became [v]	phonetic-rule					PE12/024.1900	
mq	[ɸ], [β] became [f], [v]	phonetic-rule					PE19/031.0101	
q	[ɸ], [β] became [f], [v]	phonetic-rule					PE19/069.3406	
q	[ɸt] became [ut]	phonetic-rule					PE19/084.2903	
mq	[ɸu] became [hu]	phonetic-rule					PE19/031.0115	
q	[ɸu] became [hu]	phonetic-rule					PE19/071.0501	
eq	[ɸx] became [f]	phonetic-rule					PE12/020.30125	
eq	[β]	phoneme		†			PE12/016.2108	
eq	[β] became [u] before consonants and finally	phonetic-rule					PE12/024.2201	
eq	between vowels and consonants [ɣ] vanished with compensatory lengthening	phonetic-rule					PE12/018.1311	
eq	[β] vanished before [u]	phonetic-rule					PE12/024.2100	
mq	[β] vanished before [u] after vowels	phonetic-rule					PE19/032.4507	
q	[β] vanished before [u] after vowels	phonetic-rule					PE19/032.4507	
eq	-ea	suf	adjectival suffix	#				
eq	-a	suf	adjectival suffix	#			PE14/047.1611-3	
mq	-a	suf	adjectival suffix	#			Ety/ERE.014-2	
q	-a	suf	adjectival suffix	#			LotR/1116.3603-2	
eq	a	pron	it				PE14/046.2814	
mq	a¹	pron	it, one, indefinite subject		1		PE21/66.2603	
q	na-²	pref	infinitive prefix		1			
q	a-	pref	infinitive prefix	#			MC/223.2208	
mq	á¹	particle	imperative particle				PE22/105.2012	
q	á	particle	imperative particle				Let/448.3604-1	
eq	â	n	mind, inner thought		1		QL/029.2501	
eq	ai	interj	o!, ha!		1		QL/034.1001	
mq	á²	interj	Oh!				PE22/096.1708	
q	a¹	interj	O, Oh				Let/448.3307-1	
mq	a²	prep	[unglossed]				PE21/03.2902	
q	a²	article	accusative definite article	-			PE21/76.0717	
q	a Aina Fairë, Eru órava (o)messë	phrase	God, the Holy Spirit, have mercy on us				VT44/12.1000	
q	a Aina Maria arca atarmë	phrase	Holy Mary, pray for us				VT44/12.1400	
q	a Aina Neldië Eru Er órava (o)messë	phrase	Holy Trinity, one God, have mercy on us				VT44/12.1200	
mq	(a) antate nyen	phrase	(one) gives it to me, it is given to me				PE23/073.0708	
eq	ablative	grammar					PE16/113.2514	
mq	ablative	grammar					PE21/50.1001	
q	ablative	grammar					PE21/50.1001	
q	A carnë ta yallë B (carnë)	phrase	A did that as / like B (did)				PE17/074.0901	
eq	alkana-	vb	to blaze		1		QL/030.1501	
nq	accal-	vb	to blaze, shine (suddenly and) brilliantly	!			QL/030.1501	0.6.5
nq	accamátala	adj	over-eating	!		Helge Fauskanger, NQNT		0.7.0
nq	accamatië	n	over-eating	!		Helge Fauskanger, NQNT		0.7.0
nq	accap-	vb	to pounce, jump (suddenly and forcefully)	!		Luinyelle		0.8.12
nq	accasúcala	adj	over-drinking	!		Helge Fauskanger, NQNT		0.7.0
nq	accasucië	n	over-drinking	!		Helge Fauskanger, NQNT		0.7.0
eq	accusative	grammar						
mq	accusative	grammar					PE21/03.2501	
q	accusative	grammar					PE17/076.2203	
eq	active participle	grammar					PE14/029.2515	
mq	active participle	grammar					PE22/100.2301	
q	active participle	grammar					PE22/154.0510	
eq	adjectives	grammar					PE14/045.2101	
mq	adjectives	grammar					PE14/045.2101	
q	adjectives	grammar					PE21/77.3002	
eq	adverbial cases	grammar					PE14/046.0701	
mq	adverbial cases	grammar					PE21/03.3401	
q	adverbial cases	grammar					PE21/03.3401	
eq	adverbs	grammar					PE14/047.2001	
mq	adverbs	grammar						
q	adverbs	grammar					PE17/073.4001	
q	a Eruion Mardorunando, Eru órava (o)messë	phrase	God, the Son, Redeemer of the world, have mercy on us				VT44/12.0800	
mq	A ethe·quente andake he	phrase	A told him (or B) to kill him (C)				PE23/092.0200	
mq	A ethe·quente kari he	phrase	A told him (or B) to make it				PE23/092.0118	
mq	á e tule, ási e tule	phrase					PE22/106.0214	
mq	á e·ndanne anda né	phrase	Oh! he went back long ago				PE22/096.1707	
mq	agental nouns	grammar						
q	agental nouns	grammar						
mq	aha	n	rage				PE22/051.0215	
q	aha	n	rage				LotR/1123.0110	
mq	á he mittar	phrase	let them come in				PE22/106.0705	
mq	á he tuluvar	phrase	let them come				PE22/106.0617	
q	a Hrísto órava ómessë	phrase	Christ, have mercy on us				VT44/12.0200	
nq	ahta-	vb	to narrow (tr. and intr.); ⚠️to besiege [with os]	!		Ellanto		0.8.10
q	accar-	vb	to do back, react; to requite, avenge	|	1			
q	ahtar-	vb	to do back, react; to requite, avenge	|			PE17/166.1911	
nq	ahtar-	vb	to do back, react; ⚠️to requite, avenge				PE17/166.1911	0.6.5
nq	ahtarië	n	reaction; ⚠️vengeance	!		NQ-Wiki, NQNT		0.6.5
nq	ahtarulas(së)	n	responsibility, (lit.) aptitude to react	!		Tamas Ferencz		0.6.9
nq	ahtassë	n	narrowing, ⚠️siege	!		Ellanto		0.8.10
mq	ahto	n	wright, maker				PE18/062.2409	
q	ahto	n	wright, maker	|			PE18/085.4115	
nq	ahto	n	wright, maker, *[lesser] craftsman				PE18/085.4115	0.6.5
mq	ahtumat	n	supper				PE21/32.3711	
eq	Ahúra	n	Sun		1		PE15/77.5902	
eq	ahúrasilqi	n	sun and moon	†			PE14/076.2606	
q	ahya-	vb	to change	#			PM/395.1303	
q	á hyamë rámen úcarindor	phrase	pray for us sinners				VT43/26.3500	
eq	ea	interj	a cry of pain or woe		1		PE13/158.3304	
mq	nai	interj	alas		1		Ety/NAY.040	
q	ai¹	interj	ah, alas				CPT/1296.3402	
mq	ai	adv	supposing, suppose, maybe				PE22/097.3603	
q	ai²	adv	supposing, suppose, maybe				PE22/138.3310-1	
mq	umma	pron	any, any at all (in the world/existence)					
mq	imma	adj pron	any, any at all (in the world/existence); anything		1		PE23/099.1702	
nq	ai(a)-	pref	any-	!		Paul Strack	PE23/099.1702	0.8.11.1
nq	aia	adj	strange, unusual	!	1	Tamas Ferencz		0.6.9
mq	aia	adj	other, different				PE23/105.2802	
mq	aia-	pref	other, different (of larger numbers)		1		PE23/099.3311	
mq	immalka	adj	*of any amount		1		PE23/108.1308	
nq	aialca	adj	of any amount	!		Paul Strack	PE23/108.1308	0.8.11.1
mq	immal(de)	adv	anyhow		1		PE23/111.1503	
nq	aiallë	adv	anyhow	!		Paul Strack	PE23/111.1503	0.8.11.1
mq	immalli(ni)	adj pron	of any number (you like)		1		PE23/108.0502	
nq	aialli	adj pron	of any number	!		Paul Strack	PE23/108.0502	0.8.11.1
nq	aiallo	adv	from anywhere	!		Paul Strack		0.8.11.1
q	Aia María	text						
q	Aia María quanta Eruanno	phrase	Hail Mary, full of grace				VT43/26.3000	
q	aian	n	holy thing or object or place				PE17/149.0903	
mq	immana	adj pron	any at all		1		PE23/105.2604	
nq	aiana	adj pron	any	!		Paul Strack	PE23/105.2604	0.8.11.1
mq	imman(de)	adv	ever, at all, to any degree		1		PE23/111.0504	
nq	aiandë	adv	ever, at all, to any degree	!		Paul Strack	PE23/111.0504	0.8.11.1
mq	aian imman	phrase	at any other time		1		PE23/109.2309	
mq	immanna	adv	*to anywhere		1		PE23/112.0611	
nq	aianna	adv	to anywhere	!		Paul Strack	PE23/112.0611	0.8.11.1
mq	aiárea	adj	of different ages		1		PE23/108.2203	
mq	immas(se)	adv	*anywhere		1		PE23/111.2902	
nq	aiassë	adv	anywhere	!		Paul Strack	PE23/111.2902	0.8.11.1
mq	immatwe	pron	either (when there is no choice)		1		PE23/107.0602	
nq	aiatwë	pron	either (when there is no choice)	!			PE23/107.0602	0.8.11.1
mq	aika	adj	sharp				Ety/AYAK.005	
q	aica	adj	fell, terrible, dire				PM/347.2004	
q	Aicanáro	masc-name	Fell Fire; Sharp Flame				MR/323.2305	
eq	aiko	n	cliff				QL/029.5101	
nq	aico	n	cliff				QL/029.5101	0.8.01
eq	aika	adj	broad, vast	†	1		GL/32.0710	
eq	Aikaldamor	masc-name	Broadshoulder, Broad Back				GL/19.0502	
mq	aikale	n	peak				Ety/AYAK.007	
mq	aikasse	n	mountain peak				Ety/AYAK.017	
eq	aikuvoite	adj	cliffy, rocky				QL/029.5201	
mq	ai! laurie lantar lassi sūrinen	phrase					TI/284.3900	
q	ai! lassi lantar laurië súrinen	phrase	ah! leaves fall golden in [by means of] the wind				RGEO/58.4200	
q	ai! laurië lantar lassi súrinen	phrase	ah! like gold fall the leaves in the wind				LotR/0377.2800	
eq	ailin¹	n	lake, pool				GL/17.7803	
eq	ailo	n	lake, pool		1		GL/17.7604	
mq	ailin	n	pool, lake				Ety/AY.006	
q	ailin	n	a large lake				PE17/160.1414	
nq	ailindo	n	loon [bird], (lit.) lake-singer	!		Valerie		0.8.10.1
eq	ai lindórea Lasselanta	phrase	*oh with singing at dawn Fall				VT40/08.2300	
q	Ailinel	fem-name					UT/210.0703	
eq	ailinisse alkarain	phrase	upon the shining shore				MC/221.1500	
eq	ailinissen alkarain	phrase	*upon the shining shore				PE16/077.2900	
eq	ailinissen oilimaisen	phrase	*on the last shores				PE16/077.2400	
eq	ailinon	n	water lily		1		PME/029.4505	
eq	Ailinóne	fem-name					PME/029.4509	
eq	ai lintuilind(ov)a Lasselanta	phrase	*oh Fall with its many swallows				VT40/08.0900	
eq	Aïlior	collective-name	Water [Fay]				PE14/010.2602	
eq	ailissen oilimaisen	phrase	upon the last beaches				MC/221.1100	
q	ai! löar yassen palantírienyë andavanwë yárier	phrase	ah years in which looking far away I saw ages long-passed				CPT/1296.34015	
mq	immallume	adv	*any time				PE23/110.1309	
nq	ailumë¹	adv	any time	!			PE23/110.1309	0.7.6
eq	Ailuvin	fem-name	Lake Foam				GL/17.8108	
nq	aiqua	pron	anything, whatever	!	1	Helge Fauskanger, NQNT		0.6.9
nq	aima	pron	anything, whatever	!		Röandil		0.8.00
eq	aimaktar	n	martyr (m.)					
eq	aimaktu	n	martyr (m.)		1		PME/034.2006	
nq	aimahto	n	martyr, (lit.) blessed slain	^			PME/034.2006	0.6.5
eq	aimaksin	n	martyr (f.)		1		QL/034.1601	
nq	aimanen	adv	however	!		Tamas Ferencz		0.6.9
nq	aimë	n	surprise, thing/action that surprises	!		Luinyelle		0.8.10.1
eq	aimo	n	saint (m.)				QL/034.0201	
nq	aimo	n	saint				QL/034.0201	0.6.5
eq	aina	adj	holy, revered, worshipful				PME/034.2205	
mq	aina¹	adj	holy				Ety/AYAN.014	
q	aina	adj	holy, revered, numinous				PE17/149.0202	
q	aina-	vb	to hallow, bless, treat as holy				PE17/149.0805	
q	Aina Eruontarië	phrase	Holy Mother of God				VT44/12.1500	
eq	ainar	n	temple [body part]				PE14/117.0703	
mq	yána	n	holy place, fane, sanctuary		1		Ety/YAN.005	
q	ainas	n	hallow, fane				PE17/149.0911	
eq	Ainatar	masc-name	God, (lit.) Holy Father				LT1A/Ainur.023	
mq	immar(yas)	adv	(on) any day		1		PE23/109.2207	
nq	ainaurë	adv	any day	!		Paul Strack	PE23/109.2207	0.8.11.1
q	Aina Wendë mi Wenderon	phrase	Holy Virgin of virgins				VT44/12.1600	
mq	immainen	adv	*by any means		1		PE23/111.1506	
nq	ainen	adv	by any means	!		Paul Strack	PE23/111.1506	0.8.11.1
eq	Aini	n	(pagan) goddess				LT1A/Ainur.014	
mq	Aini	n	holy one, angelic spirit (f.)				Ety/AYAN.009	
q	ainima	adj	blessed, holy (of things)				PE17/149.0813	
nq	aino	n	god	!		Helge Fauskanger, NQNT		0.6.5
nq	ainocimië	n	reverence, piety, godliness	!	1	Helge Fauskanger, NQNT		0.7.0
nq	ainocimya	adj	reverent, pious	!	1	Helge Fauskanger, NQNT		0.7.0
nq	ainolóra	adj	godless	!		Helge Fauskanger, NQNT		0.7.0
nq	ainolórië	n	godlessness	!		Helge Fauskanger, NQNT		0.7.0
mq	immanome	adv	*any place		1		PE23/112.0204	
nq	ainomë	adv	any place, anywhere	!			PE23/112.0204	0.7.6
eq	Aino	n	one of the great Valar		1			
eq	Ainu	n	a (pagan) God				LT1/061.1501	
mq	Ainu	n	holy one, angelic spirit				Ety/AYAN.007	
q	Ainu	n	holy one, spirit				Let/284.1706	
mq	Ainulindale	proper-name	Music of the Ainur				Ety/AYAN.016	
q	Ainulindalë	proper-name	Music of the Ainur				LT1I/Ainulindalë.001	
eq	Ainurarda	place-name	Place of the Gods				PE13/103.2401	
eq	aipio	n	cherry				GL/18.0807	
nq	aipio	n	cherry				GL/18.0807	0.6.5
eq	aiqa	adj	steep, tall; high, lofty, sublime; chief				MC/216.1803	
mq	aiqa	adj	steep				Ety/AYAK.035	
mq	aiqe e kestanelyanen (ela), en ni·túlie	phrase					PE22/122.0401	
mq	aiqe e kestanelyanen (ela), en ni·tuluváne	phrase					PE22/122.0806	
mq	aiqe e kestanen (ela), en ni·tuluváne	phrase					PE22/122.0501	
mq	aiqe e kestanen (ela), en ni·utúliévane	phrase					PE22/122.0508	
mq	aiqe e·kestanen ela en ni túlie/karnet	phrase	if he had asked me (he did not), I should have come/made it				PE22/121.2501	
mq	aiqe e·kestanen, en(ai) ni·túlie/karnet	phrase	if he had asked me, I should have come/made it				PE22/121.2401	
mq	aiqe e·kestuvan, ni·tuluva	phrase	If he asked me/were to ask me, I should come				PE22/120.3012	
mq	aiqe kestuvan ni·tuluva	phrase	If he asked me/were he to ask, I should come				PE22/097.3609	
mq	aiqe ni káraza (nila) san ette kára(za) yú	phrase	if I were doing this now (I am not), he would be doing it too				PE22/122.1207	
